user_id,trip_day,timestamp,location,latitude,longitude,spending_lkr,cumulative_spend_lkr,daily_budget_lkr,dwell_time_minutes,is_overspending,activity_type,weather,replanning_triggered
tourist_9238,1,2024-11-09 08:00:00,Colombo,6.934642,79.869154,2050.11,2050.11,21803,113,0,transport,cloudy,0
tourist_9238,1,2024-11-09 09:00:00,Colombo,6.928393,79.86338,1218.37,3268.48,21803,133,0,sightseeing,cloudy,0
tourist_9238,1,2024-11-09 10:00:00,Colombo,6.925662,79.862815,611.46,3879.94,21803,132,0,food,cloudy,0
tourist_9238,1,2024-11-09 11:00:00,Colombo,6.928982,79.853197,499.7,4379.64,21803,69,0,transport,sunny,0
tourist_9238,1,2024-11-09 12:00:00,Colombo,6.928298,79.861103,1133.71,5513.35,21803,123,0,sightseeing,sunny,0
tourist_9238,1,2024-11-09 13:00:00,Colombo,6.928439,79.853684,2441.66,7955.01,21803,67,0,accommodation,rainy,0
tourist_9238,1,2024-11-09 14:00:00,Colombo,6.917133,79.861201,411.38,8366.39,21803,174,0,transport,cloudy,0
tourist_9238,1,2024-11-09 15:00:00,Colombo,6.929898,79.855761,1681.79,10048.18,21803,111,0,food,rainy,0
tourist_9238,1,2024-11-09 16:00:00,Colombo,6.927785,79.863645,1075.79,11123.97,21803,152,0,accommodation,sunny,0
tourist_9238,1,2024-11-09 17:00:00,Colombo,6.923139,79.856523,900.46,12024.43,21803,85,0,transport,rainy,0
tourist_9238,1,2024-11-09 18:00:00,Colombo,6.925515,79.861017,940.47,12964.9,21803,46,0,shopping,rainy,0
tourist_9238,1,2024-11-09 19:00:00,Colombo,6.927666,79.855117,2415.28,15380.18,21803,143,0,shopping,cloudy,0
tourist_9238,1,2024-11-09 20:00:00,Colombo,6.923372,79.864228,269.29,15649.47,21803,67,0,transport,rainy,0
tourist_9238,1,2024-11-09 21:00:00,Colombo,6.930994,79.865481,1135.84,16785.31,21803,174,0,food,rainy,0
tourist_9238,2,2024-11-10 08:00:00,Ella,6.857065,81.047931,2688.27,2688.27,21803,107,0,food,cloudy,0
tourist_9238,2,2024-11-10 09:00:00,Ella,6.867319,81.05625,1312.64,4000.91,21803,54,0,food,sunny,0
tourist_9238,2,2024-11-10 10:00:00,Ella,6.868613,81.042358,2941.86,6942.77,21803,20,0,shopping,sunny,0
tourist_9238,2,2024-11-10 11:00:00,Ella,6.873491,81.04641,372.63,7315.4,21803,128,0,transport,cloudy,0
tourist_9238,2,2024-11-10 12:00:00,Ella,6.867113,81.041768,602.2,7917.6,21803,63,0,shopping,sunny,0
tourist_9238,2,2024-11-10 13:00:00,Ella,6.858287,81.050901,2464.93,10382.53,21803,76,0,food,sunny,0
tourist_9238,2,2024-11-10 14:00:00,Ella,6.8674,81.039165,1412.95,11795.48,21803,155,0,shopping,rainy,0
tourist_9238,2,2024-11-10 15:00:00,Ella,6.874954,81.037128,2979.34,14774.82,21803,109,0,transport,sunny,0
tourist_9238,2,2024-11-10 16:00:00,Ella,6.858928,81.046917,1594.73,16369.55,21803,102,0,transport,cloudy,0
tourist_9238,2,2024-11-10 17:00:00,Ella,6.871467,81.046738,1346.64,17716.19,21803,122,0,accommodation,rainy,0
tourist_9238,2,2024-11-10 18:00:00,Ella,6.864068,81.049747,233.24,17949.43,21803,174,0,sightseeing,sunny,0
tourist_9238,2,2024-11-10 19:00:00,Ella,6.867287,81.050435,531.67,18481.1,21803,45,0,shopping,sunny,0
tourist_9238,2,2024-11-10 20:00:00,Ella,6.876391,81.041396,1893.2,20374.3,21803,146,0,accommodation,rainy,0
tourist_9238,2,2024-11-10 21:00:00,Ella,6.857979,81.036932,1886.08,22260.38,21803,174,1,sightseeing,cloudy,1
tourist_9238,3,2024-11-11 08:00:00,Galle,6.054884,80.227815,913.68,913.68,21803,49,0,transport,sunny,0
tourist_9238,3,2024-11-11 09:00:00,Galle,6.056165,80.21391,2698.22,3611.9,21803,37,0,food,sunny,0
tourist_9238,3,2024-11-11 10:00:00,Galle,6.048592,80.226491,1405.51,5017.41,21803,115,0,shopping,cloudy,0
tourist_9238,3,2024-11-11 11:00:00,Galle,6.060059,80.224987,2116.71,7134.12,21803,101,0,food,sunny,0
tourist_9238,3,2024-11-11 12:00:00,Galle,6.050122,80.223758,571.59,7705.71,21803,104,0,shopping,cloudy,0
tourist_9238,3,2024-11-11 13:00:00,Galle,6.050367,80.229027,2517.51,10223.22,21803,81,0,shopping,cloudy,0
